Manufacturer ,Operating_Temp,Supply_Voltage,Series,Part_Number,Product_Description,Long_Description,Product_Category,Quantity,SPQ,Packaging_Type,Supplier_Device_Package,SKU,Mounting_Type,Additional_Info,Image_URL,Datasheet_URL,Series_URL
"Suntsu Electronics, Inc.",-55°C - +125°C,,SAW212,SAW2129D5B-32.768K,2.0mm x 1.2mm Ceramic SMD 2 Pad Watch Crystal,SAW212 9pF ±20ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,3000,3000,T/R,,SAW2129D5B-32.768K,SMT,"Load Capacitance: 9pF, <br>Frequency Tolerance: ±20ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW212.png,https://suntsu.com/wp-content/uploads/SAW212-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW212/
"Suntsu Electronics, Inc.",-40°C - +105°C,,SAW312,SAW31212D4A-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±20ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212D4A-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±20ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-40°C - +125°C,,SAW312,SAW31212D4B-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±20ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212D4B-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±20ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-55°C - +85°C,,SAW312,SAW31212D58-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±20ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212D58-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±20ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-55°C - +105°C,,SAW312,SAW31212D5A-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±20ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212D5A-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±20ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-55°C - +125°C,,SAW312,SAW31212D5B-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±20ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212D5B-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±20ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-40°C - +105°C,,SAW312,SAW31212F4A-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±10ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212F4A-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±10ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-40°C - +125°C,,SAW312,SAW31212F4B-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±10ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212F4B-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±10ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-55°C - +85°C,,SAW312,SAW31212F58-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±10ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212F58-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±10ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
"Suntsu Electronics, Inc.",-55°C - +105°C,,SAW312,SAW31212F5A-32.768K,3.2mm x 1.5mm Ceramic SMD 2 Pad Watch Crystal,SAW312 12.5pF ±10ppm  32.768KHz  Ceramic SMD 2 Pad Watch Crystal,Frequency Control>Watch Crystal,2826,3000,T/R,,SAW31212F5A-32.768K,SMT,"Load Capacitance: 12.5pF, <br>Frequency Tolerance: ±10ppm, <br>Frequency: 32.768K, <br>Mounting Type: SMT, <br>Packaging: 3k Reel",https://suntsu.com/wp-content/uploads/2023/03/SAW312.png,https://suntsu.com/wp-content/uploads/SAW312-Series.pdf,https://suntsu.com/products/suntsu/frequency-control/watch-crystals/SAW312/
